연번,업소명,소  재  지,연락처,객실수,한실,양실,트윈베드,일반호텔
1,비투모텔(B2모텔), 중구 태평로 139-14(태평로2가),053-254-4009,38,2,31,5,
2,젠모텔, 중구 태평로 139-8(태평로2가),053-428-6002,37,2,28,7,
3,주공공사, 중구 공평로4길 38-15(삼덕동2가),053-427-9996,31,,31,,
4,호텔리베, 중구 태평로 139-1(태평로2가),053-424-0001,54,,48,6,
5,넘버25대구역점, 중구 서성로 100(수창동),053-424-0025,30,,28,2,
6,온도호텔, 중구 중앙대로81길 101(남성로),053-253-8900,24,,18,6,
7,호텔포레스트701, 동구 동부로22길 86(신천동),053-263-8900,64,,44,20,일반호텔
8,호텔 투하트, 동구 동부로26길 63(신천동),053-754-6331,39,,33,6,
9,곳, 동구 팔공로 525(지묘동),053-984-0033,25,,21,4,
10,플레이22호텔(PLAY 22 HOTEL), 동구 동부로22길 35(신천동),053-753-9552,45,,38,7,
11,스테이22호텔(STAY 22 HOTEL), 동구 동부로22길 37(신천동),053-754-9663,45,,39,6,
12,아시아, 동구 동부로22길 75-1(신천동),053-742-0550,41,,33,8,일반호텔
13,윙크모텔, 동구 동부로30길 100(신천동),053-742-3337,36,,32,4,
14,브라운도트 동촌유원지점, 동구 효동로6길 32(효목동),053-958-4111,52,1,47,4,
15,이시아호텔, 동구 팔공로47길 38(봉무동),053-982-7424,43,,42,1,일반호텔
16,카카오텔, 동구 효동로6길 26(효목동),053-953-1163,41,,35,6,
17,린비아토, 동구 해동로 200(검사동),053-981-1909,44,,30,14,
18,아우룸호텔, 동구 율암로 156-20(상매동),053-965-1647,51,,46,5,
19,더블유에스호텔, 동구 율암로 156-22(상매동),053-964-5659,46,,42,4,
20,대구호텔 여기어때, 서구 달서로 151(비산동),053-557-5667,50,,45,5,일반호텔
21,호텔시안, 서구 서대구로 117(평리동),053-522-0900,40,,35,5,
22,오투(O2), 서구 국채보상로42길 8(평리동),053-526-2292,44,,39,5,
23,더제이호텔, 남구 중앙대로 116(봉덕동),053-471-3311,52,,41,11,일반호텔
24,호텔블로바이블로, 남구 중앙대로 118(봉덕동),053-475-6966,34,,27,7,일반호텔
25,앞산프라자, 남구 현충로 148(대명동),053-625-8118,36,,21,15,일반호텔
26,앤모텔, 남구 대명로 27-2(대명동),053-655-8990,32,,30,2,
27,호텔소호102, 북구 학정로9길 10(태전동),053-311-0880,36,,36,,일반호텔
28,글램호텔, 북구 동천로 138-22(동천동),053-323-9431,34,,26,8,
29,호텔아싸(A4), 북구 동천로23길 30-9(동천동),053-323-0333,39,,37,2,일반호텔
30,리드모텔, 북구 유통단지로13길 13-11(산격동),053-381-0050,26,,23,3,
31,라인모텔, 북구 대현로 92-1(대현동),053-213-3355,30,,29,1,
32,호텔 비, 북구 동천로 138-18(동천동),053-325-9783,36,,31,5,
33,경대교 삐에로, 북구 대현로 32(대현동),053-957-4005,27,1,25,1,
34,인카모텔, 북구 동천로24길 17-15(동천동),053-324-5656,34,,31,3,
35,마이더스호텔, 북구 동암로12길 24-20(동천동),053-351-8888,61,,53,8,일반호텔
36,체리쉬, 수성구 동대구로25길 37(황금동),053-766-1121,40,,37,3,일반호텔
37,2월호텔대구황금점, 수성구 동대구로 165(황금동),053-764-2200,31,,27,4,일반호텔
38,수성스테이, 수성구 용학로25길 16(두산동),053-781-3366,35,,34,1,일반호텔
39,호텔도도, 수성구 용학로25길 48(두산동),053-784-9929,30,,30,,
40,로미오, 수성구 청수로26길 8(두산동),053-764-3800,35,,30,5,
41,2월호텔대구수성점, 수성구 청수로 67(중동),053-765-0600,29,,27,2,일반호텔
42,호텔 가우진, 수성구 수성로 276(중동),053-763-1116,31,,28,3,
