전시명,영문전시명,전시장소,전시시작일,전시종료일,메인이미지,오디오가이드
2021 Y아티스트프로젝트 《유머랜드주식회사》 (Humorland  Co.),2021 Y Artist Project  (Humorland  Co.),"대구미술관 4,5전시실",2021-09-14,2021-12-26,https://artmuseum.daegu.go.kr/DATA/program/202108180843102997.jpg,
대구포럼Ⅰ《시를 위한 놀이터》,Daegu Forum Ⅰ Playground for Poetry,"대구미술관 1전시실(1,440m²), 어미홀(750㎡)",2021-06-15,2021-09-26,https://artmuseum.daegu.go.kr/DATA/program/202105270220229832.gif,https://artmuseum.daegu.go.kr/DATA/program/202106210704068817.mp3
이건희 컬렉션 특별전 웰컴 홈 향연,The Special Exhibition on Lee Kun-hee Collection titled Welcome Home: A Feast of Art,"4, 5전시실",2021-06-29,2021-08-29,https://artmuseum.daegu.go.kr/DATA/program/202106070419384170.jpg,https://artmuseum.daegu.go.kr/DATA/program/202106290821377839.mp3
2021 다티스트 《차계남》展,DArtist 2021 Cha Kea Nam,"2, 3전시실, 선큰가든",2021-06-08,2021-09-26,https://artmuseum.daegu.go.kr/DATA/program/202105130504057565.jpg,
"다티스트1-정은주,차규선","DArtist 1- Jeong Eun Ju, Cha Kyu Sun","2, 3전시실, 선큰가든",2021-02-02,2021-05-23,https://artmuseum.daegu.go.kr/DATA/program/202105140321434439.jpg,
첫 번째 10년,The First Decade,"4, 5전시실",2021-02-23,2021-06-13,https://artmuseum.daegu.go.kr/DATA/program/202105170135099825.jpg,
때와 땅,Era and Terra,"어미홀, 1전시실",2021-02-09,2021-05-30,https://artmuseum.daegu.go.kr/DATA/program/202102230341597805.jpg,
우리 안에 우리_악동뮤지엄2,"'We’, are in the ‘CAGE’_Akdong Museum2",3층 뷰라운지,2020-11-17,2021-01-17,https://artmuseum.daegu.go.kr/DATA/program/202011120254044392.jpg,
이인성미술상 20주년 기념 특별전 (위대한 서사),The LEE In-sung Art Prize 20th Anniversary Exhibition (The Great Epic),"4, 5전시실",2020-11-03,2021-01-31,https://artmuseum.daegu.go.kr/DATA/program/202010070955135551.jpg,https://artmuseum.daegu.go.kr/DATA/program/202011020809591484.mp3
제20회 이인성미술상 수상전 조덕현,cho duck hyun,"2, 3전시실, 선큰가든",2020-11-03,2021-01-17,https://artmuseum.daegu.go.kr/DATA/program/202010070316503436.jpg,https://artmuseum.daegu.go.kr/DATA/program/202011020809580359.mp3
메이드 인 대구Ⅱ,Made in Daegu Ⅱ,1전시실,2020-09-29,2021-01-03,https://artmuseum.daegu.go.kr/DATA/program/202009040751215350.jpg,https://artmuseum.daegu.go.kr/DATA/program/202009280919058884.mp3
정재규-빛의 숨쉬기,CHONG JAE-KYOO - Breathing of Light,"4, 5전시실",2020-07-07,2020-10-18,https://artmuseum.daegu.go.kr/DATA/program/202006080654208607.jpg,https://artmuseum.daegu.go.kr/DATA/program/202007060818506024.mp3
팀 아이텔_무제(2001-2020),tim eitel_untitled (2001-2020),"2,3전시실, 선큰가든",2020-07-07,2020-10-18,https://artmuseum.daegu.go.kr/DATA/program/202006080650431630.jpg,https://artmuseum.daegu.go.kr/DATA/program/202007060818496605.mp3
어미홀 프로젝트《카발라(Kabbala)》,Kabbala,어미홀,2020-07-07,2021-01-03,https://artmuseum.daegu.go.kr/DATA/program/202006080648327778.jpg,https://artmuseum.daegu.go.kr/DATA/program/202007060818493073.mp3
새로운 연대,New Communion,1전시실,2020-06-16,2020-09-13,https://artmuseum.daegu.go.kr/DATA/program/202005190908561346.jpg,https://artmuseum.daegu.go.kr/DATA/program/202006151608116298.mp3
달이 떴다고,When the Moon Has Risen,"4, 5전시실",2020-02-11,2020-06-14,https://artmuseum.daegu.go.kr/DATA/program/202002040521148904.jpg,https://artmuseum.daegu.go.kr/DATA/program/202002160937301783.mp3
한국-인도 교류전_ 3.1운동 100주년 기념전: 1919년 3월 1일 날씨 맑음,Korea-India Exchange Exhibition_100th Anniversary of the March 1st Independence Movement: One Shiny Day,인도 뉴델리 국립현대미술관 1층,2019-08-14,2019-09-29,https://artmuseum.daegu.go.kr/DATA/program/202002040517121153.jpg,
당신 속의 마법(You have witchcraft in your lips.),You have witchcraft in your lips,1전시실,2020-01-14,2020-05-31,https://artmuseum.daegu.go.kr/DATA/program/201912240154466424.jpg,https://artmuseum.daegu.go.kr/DATA/program/202001121225195937.mp3
소장품 100선展,100 Collective Signatures of Daegu Art Museum,"어미홀, 2, 3전시실",2020-01-24,2020-06-14,https://artmuseum.daegu.go.kr/DATA/program/201912240145257487.jpg,https://artmuseum.daegu.go.kr/DATA/program/202001201736057045.mp3
"2019 이인성 특별전 화가의 고향, 대구","2019 Special Exhibition of Lee In-sung Daegu, Home of the Artist",2전시실 4섹션,2019-11-05,2020-01-12,https://artmuseum.daegu.go.kr/DATA/program/201910170803085638.jpg,https://artmuseum.daegu.go.kr/DATA/program/201911031005393241.mp3
제19회 이인성 미술상 수상자 공성훈 : 사건으로서의 풍경,"KONG, Sunghun: The Landscape as an Event","2,3 전시실, 선큰가든",2019-11-05,2020-01-12,https://artmuseum.daegu.go.kr/DATA/program/201910170755554786.jpg,
국립현대미술관 순회전 탄생 100주년 기념: 곽인식,Celebrating the 100th anniversary of the birth of QUAC Insik,1전시실,2019-10-15,2019-12-22,https://artmuseum.daegu.go.kr/DATA/program/201910131251245839.jpg,https://artmuseum.daegu.go.kr/DATA/program/201910171923039435.mp3
악동뮤지엄,Akdong Museum,3층 뷰라운지,2019-10-16,2019-12-29,https://artmuseum.daegu.go.kr/DATA/program/201910110752245879.jpg,
"남 홍_솟는 해, 알 품은 나무",Nam Hong _ The Rising Sun and the Tree with Hopes,"4, 5전시실",2019-10-01,2020-01-05,https://artmuseum.daegu.go.kr/DATA/program/201909110136292888.jpg,https://artmuseum.daegu.go.kr/DATA/program/201909301029204450.mp3
~Kreuzen,~Kreuzen,"4, 5전시실",2019-06-04,2019-09-15,https://artmuseum.daegu.go.kr/DATA/program/201905130519042830.jpg,https://artmuseum.daegu.go.kr/DATA/program/201906091058528132.mp3
박생광,PARK Saeng Kwang,"2, 3전시실",2019-05-28,2019-10-20,https://artmuseum.daegu.go.kr/DATA/program/201905130458222630.jpg,https://artmuseum.daegu.go.kr/DATA/program/201906091058511812.mp3
팝/콘,POP/corn,"어미홀, 1전시실",2019-06-11,2019-09-29,https://artmuseum.daegu.go.kr/DATA/program/201905130450105286.jpg,https://artmuseum.daegu.go.kr/DATA/program/201906091058518964.mp3
Alex Katz,Alex Katz,"어미홀, 제1전시실",2019-02-19,2019-05-26,https://artmuseum.daegu.go.kr/DATA/program/201901280232404074.jpg,https://artmuseum.daegu.go.kr/DATA/program/201902171053076663.mp3
1919년 3월 1일 날씨 맑음,One Shiny Day,"2, 3전시실",2019-01-29,2019-05-12,https://artmuseum.daegu.go.kr/DATA/program/201901070529145905.jpg,https://artmuseum.daegu.go.kr/DATA/program/201901271127449906.mp3
전선택,Jeon Seon Taek,"4, 5전시실",2019-01-29,2019-05-19,https://artmuseum.daegu.go.kr/DATA/program/201901061020079286.jpg,https://artmuseum.daegu.go.kr/DATA/program/201901271127442484.mp3
프레임 이후의 프레임: 한국현대사진운동 1988-1999,Frames after Frames: Modern Photography Movement of Korea from 1988 to 1999,1전시실,2018-10-23,2019-01-13,https://artmuseum.daegu.go.kr/DATA/program/201810171008338353.jpg,https://artmuseum.daegu.go.kr/DATA/program/201810221007198846.mp3
"2018 어미홀 프로젝트 나현, 바벨 - 서로 다른 혀","2018 UMI Hall Project NAHYUN, The Babel - Different Tongues",어미홀,2018-10-23,2019-01-13,https://artmuseum.daegu.go.kr/DATA/program/201810040336003052.jpg,https://artmuseum.daegu.go.kr/DATA/program/201810221007191328.mp3
최민화 : 천 개의 우회,CHOI Minhwa : A Thousand Detours ,"2, 3전시실, 선큰 가든(1,492㎡)",2018-09-04,2018-12-16,https://artmuseum.daegu.go.kr/DATA/program/201808030508087352.jpg,https://artmuseum.daegu.go.kr/DATA/program/201809021428541717.mp3
염지혜: 모든 관점 볼텍스,Total Perspective Vortex,"4, 5전시실",2018-09-04,2018-12-25,https://artmuseum.daegu.go.kr/DATA/program/201808030507071030.jpg,https://artmuseum.daegu.go.kr/DATA/program/201809021428548808.mp3
간송특별전 조선회화명품전,The Masterpieces of Joseon Paintings,"어미홀, 1전시실",2018-06-16,2018-09-26,https://artmuseum.daegu.go.kr/DATA/program/201805140609226520.jpg,
"박정기, 걷다 쉬다 ","PARK Chungki, Walk and Rest","4, 5전시실",2018-05-15,2018-08-19,https://artmuseum.daegu.go.kr/DATA/program/201804251133328483.jpg,https://artmuseum.daegu.go.kr/DATA/program/201805201101421888.mp3
김환기,KIM Whanki,"2, 3전시실",2018-05-22,2018-08-19,https://artmuseum.daegu.go.kr/DATA/program/201804240602408509.jpg,https://artmuseum.daegu.go.kr/DATA/program/201805201018454442.mp3
"2018 소장품 수직충동, 수평충동","2018 Collection Vertical Impulse, Horizontal Impulse","4, 5 전시실",2018-01-09,2018-04-29,https://artmuseum.daegu.go.kr/DATA/program/201801040725335809.jpg,https://artmuseum.daegu.go.kr/DATA/program/201801220738262295.mp3
저항과 도전의 이단아들,Renegades in resistance and challenge,"어미홀, 1전시실",2018-01-16,2018-05-13,https://artmuseum.daegu.go.kr/DATA/program/202103100525061979.jpg,https://artmuseum.daegu.go.kr/DATA/program/201801210321158095.mp3
남춘모_풍경이 된 선,From lines to landscape,"2,3 전시실, 선큰가든",2018-01-23,2018-05-07,https://artmuseum.daegu.go.kr/DATA/program/201712210810252251.jpg,https://artmuseum.daegu.go.kr/DATA/program/201801180827103882.mp3
풍경표현 ,Expression of Landscape,1전시실,2017-09-29,2017-12-31,https://artmuseum.daegu.go.kr/DATA/program/201709081010518903.jpg,https://artmuseum.daegu.go.kr/DATA/program/201709241008582345.mp3
홍순명 : 장밋빛 인생,Hong soun: La Vie en rose,"2,3전시실, 선큰가든",2017-09-26,2018-01-07,https://artmuseum.daegu.go.kr/DATA/program/201709070435488305.jpg,https://artmuseum.daegu.go.kr/DATA/program/201709241034288562.mp3
블로우 업 Blow-up,Blow-up,"4, 5전시실",2017-09-19,2017-12-25,https://artmuseum.daegu.go.kr/DATA/program/201709050443473411.jpg,https://artmuseum.daegu.go.kr/DATA/program/201709241100581693.mp3
NEGUA  VSP _ 빛과 소리,NEGUA  VSP _ The light and Sound,어미홀,2017-09-29,2017-12-31,https://artmuseum.daegu.go.kr/DATA/program/201709041027556224.jpg,https://artmuseum.daegu.go.kr/DATA/program/201709241001083315.mp3
한무창: 꽃들의 충돌,HAN Moochang: Conflict of Flowers,"4, 5전시실",2017-05-30,2017-09-03,https://artmuseum.daegu.go.kr/DATA/program/201705260459294560.jpg,https://artmuseum.daegu.go.kr/DATA/program/201706080129231883.mp3
매체연구: 긴장과 이완,Media Study : Tension and Relaxation,"2, 3 전시실",2017-06-06,2017-09-10,https://artmuseum.daegu.go.kr/DATA/program/201706051037598891.jpg,https://artmuseum.daegu.go.kr/DATA/program/201706081039339660.mp3
고스트,Ghost,"어미홀, 1전시실",2017-06-13,2017-09-17,https://artmuseum.daegu.go.kr/DATA/program/201706100137507192.jpg,https://artmuseum.daegu.go.kr/DATA/program/201706081019203893.mp3
대구미술을 열다_석재 서병오,Opening up the World of Daegu Art : Seokjae SEO Byeong-o,4·5전시실,2017-02-21,2017-05-14,https://artmuseum.daegu.go.kr/DATA/program/201702211153382469.jpg,
"스코어_ 나, 너, 그, 그녀{의}",Score_ Music for everyone,"2, 3전시실",2017-02-21,2017-05-21,https://artmuseum.daegu.go.kr/DATA/program/201702060752279980.jpg,https://artmuseum.daegu.go.kr/DATA/program/201703090914128724.mp3
